,lyric,clean_lyric
54,"And soon enough, you're best friends",friends
55,Laughin' at the other girls who think they're so cool,laughin girls cool
56,We'll be outta here as soon as we can,outta
57,And then you're on your very first date and he's got a car,car
58,And you're feelin' like flyin',feelin flyin
59,And your mama's waitin' up and you're thinkin' he's the one,mamas waitin thinkin
60,And you're dancin' 'round your room when the night ends,dancin room night
61,When the night ends,night
62,'Cause when you're fifteen and somebody tells you they love you,fifteen tells love
63,You're gonna believe them,
64,And when you're fifteen and your first kiss,fifteen kiss
65,"Makes your head spin around, well",head spin
66,In your life you'll do things greater than,life things greater
67,Datin' the boy on the football team,datin boy football team
68,I didn't know it at fifteen,fifteen
69,When all you wanted was to be wanted,wanted wanted
70,Wish you could go back and tell yourself what you know now,
71,"Back then, I swore I was gonna marry him someday",swore marry someday
72,But I realized some bigger dreams of mine,realized bigger dreams mine
73,And Abigail gave everything she had,abigail
74,To a boy who changed his mind,boy changed mind
75,And we both cried,cried
76,Cause when you're fifteen and somebody tells you they love you,fifteen tells love
77,You're gonna believe them,
78,"And when you're fifteen, don't forget to look before you fall",fifteen forget fall
79,But I've found time can heal most anything,heal
80,And you just might find who you're supposed to be,find supposed
81,I didn't know who I was supposed to be,supposed
82,At fifteen,fifteen
83,"La-la-la, la-la-la, la-la-la-la",lalala lalala lalalala
84,"La-la-la, la-la-la, la-la-la-la",lalala lalala lalalala
85,"La-la-la, la-la-la",lalala lalala
86,Your very first day,day
87,"Take a deep breath, girl",deep breath girl
88,Take a deep breath as you walk through the doors,deep breath walk doors
89,We were both young when I first saw you,young
90,I close my eyes and the flashback starts,close eyes flashback starts
91,I'm standing there,standing
92,On a balcony in summer air,balcony summer air
93,"See the lights, see the party, the ball gowns",lights party ball gowns
94,See you make your way through the crowd,crowd
95,"And say, ""Hello""",
96,Little did I know,
97,"That you were Romeo, you were throwing pebbles",romeo throwing pebbles
98,"And my daddy said, ""Stay away from Juliet""",daddy stay juliet
99,And I was crying on the staircase,crying staircase
100,"Begging you, ""Please don't go,"" and I said",begging
101,"Romeo, take me somewhere we can be alone",romeo
102,"I'll be waiting, all there's left to do is run",waiting left
103,You'll be the prince and I'll be the princess,prince princess
104,"It's a love story, baby, just say, ""Yes""",love story baby
105,So I sneak out to the garden to see you,sneak garden
106,We keep quiet 'cause we're dead if they knew,quiet dead knew
107,So close your eyes,close eyes
108,"Escape this town for a little while, oh, oh",escape town
109,"'Cause you were Romeo, I was a scarlet letter",romeo scarlet letter
110,"And my daddy said, ""Stay away from Juliet""",daddy stay juliet
111,But you were everything to me,
112,"I was begging you, ""Please don't go,"" and I said",begging
113,"Romeo, take me somewhere we can be alone",romeo
114,"I'll be waiting, all there's left to do is run",waiting left
115,You'll be the prince and I'll be the princess,prince princess
116,"It's a love story, baby, just say, ""Yes""",love story baby
117,"Romeo, save me, they're trying to tell me how to feel",romeo save feel
118,"This love is difficult, but it's real",love difficult
119,"Don't be afraid, we'll make it out of this mess",afraid mess
120,"It's a love story, baby, just say, ""Yes""",love story baby
121,"Oh, oh",
122,And I got tired of waiting,tired waiting
123,Wondering if you were ever coming around,wondering
124,My faith in you was fading,faith fading
125,When I met you on the outskirts of town,outskirts town
126,"And I said, ""Romeo, save me, I've been feeling so alone",romeo save feeling
127,"I keep waiting for you, but you never come",waiting
128,"Is this in my head? I don't know what to think""",head
129,"He knelt to the ground and pulled out a ring, and said",knelt ground pulled
130,"""Marry me, Juliet, you'll never have to be alone",marry juliet
131,I love you and that's all I really know,love
132,"I talked to your dad, go pick out a white dress",talked pick white dress
133,"It's a love story, baby, just say, 'Yes'""",love story baby
134,"Oh, oh, oh",
135,"Oh, oh, oh",
136,'Cause we were both young when I first saw you,young
137,"Mmm-mm, mm-mm",
138,"Mmm-mm, mm-mm",
139,"Mmm-mm, mm-mm, yeah",
140,"Hey Stephen, I know looks can be deceiving",stephen deceiving
141,But I know I saw a light in you,
142,And as we walked we were talking,walked talking
143,I didn't say half the things I wanted to,half things wanted
144,Of all the girls tossing rocks at your window,girls tossing rocks window
145,I'll be the one waiting there even when it's cold,waiting cold
146,"Hey Stephen, boy, you might have me believing",stephen boy believing
147,I don't always have to be alone,
148,'Cause I can't help it if you look like an angel,angel
149,Can't help it if I wanna kiss you in the rain so,kiss rain
150,Come feel this magic I've been feeling since I met you,feel magic feeling
151,Can't help it if there's no one else,
152,"Mmm, I can't help myself",
153,"Hey Stephen, I've been holding back this feeling",stephen holding feeling
154,So I got some things to say to you,things
155,"I've seen it all, so I thought",thought
156,But I never seen nobody shine the way you do,shine
157,"The way you walk, way you talk, way you say my name",walk talk
158,"It's beautiful, wonderful, don't you ever change",beautiful wonderful
159,"Hey Stephen, why are people always leaving?",stephen people leaving
160,I think you and I should stay the same,stay
161,'Cause I can't help it if you look like an angel,angel
162,Can't help it if I wanna kiss you in the rain so,kiss rain
163,Come feel this magic I've been feeling since I met you,feel magic feeling
164,Can't help it if there's no one else,
165,"Mmm, I can't help myself",
166,"They're dimming the street lights, you're perfect for me",dimming street lights perfect
167,Why aren't you here tonight?,tonight
168,"I'm waiting alone now, so come on and come out",waiting
169,"And pull me near and shine, shine, shine",pull shine shine shine
170,"Hey Stephen, I could give you fifty reasons",stephen fifty reasons
171,Why I should be the one you choose,choose
172,"All those other girls, well, they're beautiful",girls beautiful
173,But would they write a song for you? (Ha-ha-ha),write song hahaha
174,I can't help it if you look like an angel,angel
175,Can't help it if I wanna kiss you in the rain so,kiss rain
176,Come feel this magic I've been feeling since I met you,feel magic feeling
177,Can't help it if there's no one else,
178,"Mmm, I can't help myself",
179,If you look like an angel,angel
180,Can't help it if I wanna kiss you in the rain so,kiss rain
181,Come feel this magic I've been feeling since I met you,feel magic feeling
182,Can't help it if there's no one else,
183,"Mmm, I can't help myself",
184,"Ah-uh, myself",ahuh
185,"Mmm-mm, I can't help myself",
186,I can't help myself,
187,Oh-oh-oh,ohohoh
188,"Mmm-mm, mm-mm",
189,"Mmm-mm, mm-mm",
190,"Mmm-mm, mm-mm",
191,"You're on the phone with your girlfriend, she's upset",phone girlfriend upset
192,She's going off about something that you said,
193,'Cause she doesn't get your humor like I do,humor
194,"I'm in my room, it's a typical Tuesday night",room typical tuesday night
195,I'm listening to the kind of music she doesn't like,listening kind music
196,And she'll never know your story like I do,story
197,"Cause she wears short skirts, I wear T-shirts",wears short skirts wear tshirts
198,She's Cheer Captain and I'm on the bleachers,cheer captain bleachers
199,Dreaming 'bout the day when you wake up and find,dreaming day wake find
200,That what you're looking for has been here the whole time,
201,If you could see that I'm the one who understands you,understands
202,"Been here all along, so why can't you see?",
203,"You belong with me, you belong with me",belong belong
204,Walking the streets with you and your worn-out jeans,walking streets wornout jeans
205,I can't help thinking this is how it ought to be,thinking
206,"Laughing on a park bench, thinking to myself",laughing park bench thinking
207,"Hey, isn't this easy?",easy
208,And you've got a smile that could light up this whole town,smile town
209,I haven't seen it in a while since she brought you down,brought
210,"You say you're fine, I know you better than that",fine
211,"Hey, whatcha doing with a girl like that?",whatcha girl
212,"She wears high heels, I wear sneakers",wears high heels wear sneakers
213,She's Cheer Captain and I'm on the bleachers,cheer captain bleachers
214,Dreaming about the day when you wake up and find,dreaming day wake find
215,That what you're looking for has been here the whole time,
216,If you could see that I'm the one who understands you,understands
217,"Been here all along, so why can't you see?",
218,You belong with me,belong
219,Standing by and waiting at your back door,standing waiting door
220,"All this time how could you not know, baby?",baby
221,"You belong with me, you belong with me",belong belong
222,"Oh, I remember you driving to my house",remember driving house
223,In the middle of the night,middle night
224,I'm the one who makes you laugh,laugh
225,When you know you're 'bout to cry,cry
226,I know your favorite songs,favorite songs
227,And you tell me 'bout your dreams,dreams
228,Think I know where you belong,belong
229,Think I know it's with me,
230,Can't you see that I'm the one who understands you,understands
231,"Been here all along, so why can't you see?",
232,You belong with me,belong
233,Standing by and waiting at your back door,standing waiting door
234,"All this time how could you not know, baby?",baby
235,"You belong with me, you belong with me",belong belong
236,You belong with me,belong
237,Have you ever thought just maybe,thought
238,You belong with me?,belong
239,You belong with me,belong
240,All this time I was wasting hoping you would come around,wasting hoping
241,I've been giving out chances every time and all you do is let me down,chances
242,"And it's taken me this long, baby, but I've figured you out",baby figured
243,"And you're thinking we'll be fine again, but not this time around",thinking fine
244,You don't have to call anymore,
245,I won't pick up the phone,pick phone
246,This is the last straw,straw
247,Don't wanna hurt anymore,hurt
248,And you can tell me that you're sorry,
249,"But I don't believe you, baby, like I did before",baby
250,You're not sorry,
251,"No, no, oh-oh",
252,"You're looking so innocent, I might believe you if I didn't know",innocent
253,Could've loved you all my life if you hadn't left me waiting in the cold,couldve loved life left waiting cold
254,And you've got your sharе of secrets,sharе secrets
255,"And I'm tired of being last to know, oh",tired
256,And now you're asking me to listen,listen
257,'Cause it's worked each time before,worked
258,But you don't have to call anymore,
259,I won't pick up the phone,pick phone
260,This is the last straw,straw
261,Don't wanna hurt anymore,hurt
262,And you can tell me that you're sorry,
263,"But I don't believe you, baby, like I did before",baby
264,You're not sorry,
265,"No, no, oh-oh",
266,You're not sorry,
267,"No, no, oh-oh",
268,"You had me crawling for you, honey",crawling honey
269,"And it never would've gone away, no",wouldve
270,"You used to shine so bright, but I watched all of it fade",shine bright watched fade
271,So you don't have to call anymore,
272,I won't pick up the phone,pick phone
273,This is the last straw,straw
274,There's nothing left to beg for,left
275,And you can tell me that you're sorry,
276,"But I don't believe you, baby, like I did before",baby
277,You're not sorry,
278,"No, no, oh-oh",
279,You're not sorry,
280,"No, no, oh-oh",
281,"No, no, no, no, no, no, no, no, no, no, no, no",
282,"Woah, oh, oh oh, oh oh oh",woah
283,"Oh, oh, oh, no, no, no, no, no, no",
284,He is sensible and so incredible,incredible
285,And all my single friends are jealous,single friends jealous
286,He says everything I need to hear and it's like,hear
287,I couldn't ask for anything better,
288,He opens up my door and I get into his car,opens door car
289,"And he says, ""You look beautiful tonight""",beautiful tonight
290,And I feel perfectly fine,feel perfectly fine
291,But I miss screaming and fighting and kissing in the rain,screaming fighting kissing rain
292,And it's 2AM and I'm cursing your name,2am cursing
293,You're so in love that you act insane,love insane
294,And that's the way I loved you,loved
295,Breaking down and coming undone,breaking undone
296,It's a rollercoaster kind of rush,rollercoaster kind rush
297,And I never knew I could feel that much,knew feel
298,And that's the way I loved you,loved
299,He respects my space,respects space
300,And never makes me wait,wait
301,And he calls exactly when he says he will,calls
302,He's close to my mother,close mother
303,Talks business with my father,talks business father
304,He's charming and endearing,charming endearing
305,And I'm comfortable,comfortable
306,But I miss screaming and fighting and kissing in the rain,screaming fighting kissing rain
307,And it's 2AM and I'm cursing your name,2am cursing
308,You're so in love that you acted insane,love acted insane
309,And that's the way I loved you,loved
310,Breaking down and coming undone,breaking undone
311,It's a rollercoaster kind of rush,rollercoaster kind rush
312,And I never knew I could feel that much,knew feel
313,And that's the way I loved you,loved
314,He can't see the smile I'm faking,smile faking
315,And my heart's not breaking,hearts breaking
316,'Cause I'm not feeling anything at all,feeling
317,And you were wild and crazy,wild crazy
318,Just so frustrating,frustrating
319,"Intoxicating, complicated",intoxicating complicated
320,Got away by some mistake and now,mistake
321,I miss screaming and fighting and kissing in the rain,screaming fighting kissing rain
322,It's 2AM and I'm cursing your name,2am cursing
323,I'm so in love that I acted insane,love acted insane
324,And that's the way I loved you,loved
325,Breaking down and coming undone,breaking undone
326,It's a rollercoaster kind of rush,rollercoaster kind rush
327,And I never knew I could feel that much,knew feel
328,"And that's the way I loved you oh, oh",loved
329,"Whoa, whoa, oh-oh, oh",
330,"And that's the way I loved you oh, oh, oh, oh",loved
331,"Oh, oh, oh, whoa",
332,Never knew I could feel that much,knew feel
333,And that's the way I loved you,loved
334,"I'm five years old, it's getting cold, I've got my big coat on",years cold big coat
335,"I hear your laugh and look up smiling at you, I run and run",hear laugh smiling
336,Past the pumpkin patch and the tractor rides,pumpkin patch tractor rides
337,"Look now, the sky is gold",sky gold
338,I hug your legs and fall asleep on the way home,hug legs fall asleep
339,I don't know why all the trees change in the fall,trees fall
340,But I know you're not scared of anything at all,scared
341,Don't know if Snow White's house is near or far away,snow whites house
342,But I know I had the best day with you today,day today
343,I'm thirteen now,thirteen
344,And don't know how my friends could be so mean,friends
345,I come home crying and you hold me tight and grab the keys,crying hold tight grab keys
346,And we drive and drive until we found a town far enough away,drive drive town
347,And we talk and window shop 'til I've forgotten all their names,talk window shop forgotten names
348,I don't know who I'm going to talk to now at school,talk school
349,But I know I'm laughing on the car ride home with you,laughing car ride
350,Don't know how long it's going to take to feel okay,feel
351,But I know I had the best day with you today,day today
352,"I have an excellent father, his strength is making me stronger",excellent father strength making stronger
353,"God smiles on my little brother, inside and out",god smiles brother inside
354,He's better than I am,
355,I grew up in a pretty house and I had space to run,grew pretty house space
356,And I had the best days with you,days
357,There is a video I found from back when I was three,video
358,You set up a paint set in the kitchen and you're talking to me,set paint set kitchen talking
359,It's the age of princesses and pirate ships and the seven dwarves,princesses pirate ships dwarves
360,Daddy's smart,daddys smart
361,And you're the prettiest lady in the whole wide world,prettiest lady
362,Now I know why all the trees change in the fall,trees fall
363,I know you were on my side even when I was wrong,wrong
364,And I love you for giving me your eyes,love eyes
365,For staying back and watching me shine,staying watching shine
366,"And I didn't know if you knew, so I'm taking this chance to say",knew chance
367,That I had the best day with you today,day today
368,"Well, it's a sad picture, the final blow hits you",sad picture final blow hits
369,Somebody else gets what you wanted again and,wanted
370,"You know it’s all the same, another time and place",
371,Repeating history and you're getting sick of it,repeating history sick
372,But I believe in whatever you do,
373,And I'll do anything to see it through,
374,Because these things will change,things
375,Can you feel it now?,feel
376,These walls that they put up to hold us back will fall down,walls hold fall
377,"This revolution, the time will come",revolution
378,For us to finally win,finally
379,"And we’ll sing hallelujah, we'll sing hallelujah",hallelujah hallelujah
380,"Oh, oh",
381,"So we've been outnumbered, raidеd, and now cornered",outnumbered raidеd cornered
382,It's hard to fight when thе fight ain't fair,fight thе fight fair
383,"We're getting stronger now, find things they never found",stronger find things
384,They might be bigger but we're faster and never scared,bigger faster scared
385,"You can walk away, say we don't need this",walk
386,But there’s something in your eyes says we can beat this,eyes beat
387,’Cause these things will change,things
388,Can you feel it now?,feel
389,These walls that they put up to hold us back will fall down,walls hold fall
390,"This revolution, the time will come",revolution
391,For us to finally win,finally
392,"And we'll sing hallelujah, we’ll sing hallelujah",hallelujah hallelujah
393,"Oh, oh",
394,"Tonight, we'll stand, get off our knees",tonight stand knees
395,Fight for what we've worked for all these years,fight worked years
396,"And the battle was long, it's the fight of our lives",battle fight lives
397,But we’ll stand up champions tonight,stand champions tonight
398,It was the night things changed,night things changed
399,Can you see it now?,
400,When the walls that they put up to hold us back fell down,walls hold fell
401,"It's a revolution, throw your hands up",revolution throw hands
402,'Cause we never gave in,
403,"And we'll sing hallelujah, we sang hallelujah",hallelujah sang hallelujah
404,Hallelujah,hallelujah
405,I like the way you sound in the morning,sound morning
406,We're on the phone and without a warning,phone warning
407,I realize your laugh is the best sound,realize laugh sound
408,I have ever heard,heard
409,I like the way I can't keep my focus,focus
410,"I watch you talk, you didn't notice",watch talk notice
411,I hear the words but all I can think is,hear
412,We should be together,
413,"Every time you smile, I smile",smile smile
414,"And every time you shine, I'll shine for you",shine shine
415,"Whoa oh, I'm feeling you, baby",feeling baby
416,Don't be afraid to,afraid
417,Jump then fall,jump fall
418,Jump then fall into me,jump fall
419,"Baby, I'm never gonna leave you",baby leave
420,Say that you wanna be with me too,
421,'Cause I'ma stay through it all,stay
422,So jump then fall,jump fall
423,"Well, I like the way your hair falls in your face",hair falls face
424,You got the keys to me,keys
425,"I love each freckle on your face, oh",love freckle face
426,"I've never been so wrapped up, honey",wrapped honey
427,I like the way you're everything I ever wanted,wanted
428,I had time to think it over,
429,And all I can say is come closer,closer
430,Take a deep breath and jump then fall into me,deep breath jump fall
431,"Cause every time you smile, I smile",smile smile
432,"And every time you shine, I'll shine for you",shine shine
433,"Whoa oh, I'm feeling you, baby",feeling baby
434,Don't be afraid to,afraid
435,Jump then fall,jump fall
436,Jump then fall into me,jump fall
437,"Baby, I'm never gonna leave you",baby leave
438,Say that you wanna be with me too,
439,'Cause I'ma stay through it all,stay
440,So jump then fall,jump fall
441,The bottom's gonna drop out from under our feet,bottoms drop feet
442,"I'll catch you, I'll catch you",catch catch
443,When people say things that bring you to your knees,people things bring knees
444,I'll catch you,catch
445,The time is gonna come when you're so mad you could cry,cry
446,But I'll hold you through the night until you smile,hold night smile
447,"Whoa oh, I need you, baby",baby
448,"Don't be afraid, please",afraid
449,Jump then fall,jump fall
450,Jump then fall into me,jump fall
451,"Baby, I'm never gonna leave you",baby leave
452,Say that you wanna be with me too,
453,'Cause I'ma stay through it all,stay
454,So jump then fall,jump fall
455,"Jump then fall, baby",jump fall baby
456,"Jump then fall into me, into me",jump fall
457,"Every time you smile, I smile",smile smile
458,"And every time you shine, I shine",shine shine
459,And every time you're here,
460,"Baby, I'll show you, I'll show you",baby
461,"You can jump then fall, jump then fall",jump fall jump fall
462,"Jump then fall into me, into me, yeah",jump fall
463,This is wrong but I can't help but feel like,wrong feel
464,There ain’t nothing more right babe,aint babe
465,Misty morning comes again and I can't,misty morning
466,Help but wish I could see your face,face
467,And I knew from the first note played,knew played
468,I'd be breaking all my rules to see you,breaking rules
469,You smile that beautiful smile and all the girls in the front row,smile beautiful smile girls front row
470,Scream your name,scream
471,"So dim that spotlight, tell me things like",dim spotlight things
472,I can't keep my eyes off of you,eyes
473,"I'm no one special, just another wide-eyed girl",wideeyed girl
474,Who's desperately in love with you,desperately love
475,"Give me a photograph to hang on my wall, superstar",photograph wall superstar
476,Morning lonelinеss,morning lonelinеss
477,Comes around when I'm not dreaming about you,dreaming
478,Whеn my world wakes up today,whеn wakes today
479,You'll be in another town,town
480,And I knew when I saw your face,knew face
481,I'd be counting down the ways to see you,counting
482,You smile that beautiful smile and all the girls in the front row,smile beautiful smile girls front row
483,Scream your name,scream
484,"So dim that spotlight, tell me things like",dim spotlight things
485,I can't take my eyes off of you,eyes
486,"I'm no one special, just another wide-eyed girl",wideeyed girl
487,Who's desperately in love with you,desperately love
488,"Give me a photograph to hang on my wall, superstar",photograph wall superstar
489,"You played in bars, you play guitar",played bars play guitar
490,And I'm invisible and everyone knows who you are,invisible
491,"And you'll never see, you sing me to sleep",sleep
492,Every night from the radio,night radio
493,"So dim that spotlight, tell me things like",dim spotlight things
494,I can't take my eyes off of you,eyes
495,"I'm no one special, just another wide-eyed girl",wideeyed girl
496,Who's desperately in love with you,desperately love
497,"Give me a photograph to hang on my wall, superstar",photograph wall superstar
498,"Sweet, sweet superstar",sweet sweet superstar
499,Superstar,superstar
500,In the heat of the fight I walked away,heat fight walked
501,Ignorin' words that you were sayin',ignorin
502,Tryna make me stay,tryna stay
503,"I said, ""This time I've had enough""",
504,And you've called a hundred times,called
505,But I'm not picking up,picking
506,'Cause I'm so mad I might tell you that it's over,
507,But if you look a little closer,closer
508,"I said, ""Leave,"" but all I really want is you",leave
509,To stand outside my window throwin' pebbles,stand window throwin pebbles
510,"Screamin', ""I'm in love with you""",screamin love
511,"Wait there in the pourin' rain, comin' back for more",wait pourin rain
512,And don't you leave 'cause I know,leave
513,All I need is on the other side of the door,door
514,Me and my stupid pride are sittin' here alone,stupid pride sittin
515,"Goin' through the photographs, starin' at the phone",photographs starin phone
516,I keep goin' back over things we both said,things
517,And I remember the slamming door,remember slamming door
518,And all the things that I misread,things misread
519,"Oh, babe, if you know everything",babe
520,Tell me why you couldn't see,
521,"When I left, I wanted you to chase after me, yeah",left wanted chase
522,"I said, ""Leave,"" but all I really want is you",leave
523,To stand outside my window throwin' pebbles,stand window throwin pebbles
524,"Screamin', ""I'm in love with you""",screamin love
525,"Wait there in the pourin' rain, comin' back for more",wait pourin rain
526,And don't you leave 'cause I know,leave
527,All I need is on the other side of the door,door
528,And I'll scream out the window,scream window
529,I can't even look at you,
530,"I don't need you but I do, I do, I do",
531,"I say, ""There's nothing you can say",
532,"To make this right again, I mean it, I mean it""",
533,But what I mean is,
534,"I said, ""Leave,"" but, baby, all I want is you",leave baby
535,To stand outside my window throwin' pebbles,stand window throwin pebbles
536,"Screamin', ""I'm in love with you""",screamin love
537,"Wait there in the pourin' rain, comin' back for more",wait pourin rain
538,And don't you leave 'cause I know,leave
539,All I need is on the other side of the door,door
540,With your face and the beautiful eyes,face beautiful eyes
541,And the conversation with the little white lies,conversation white lies
542,And the faded picture of a beautiful night,faded picture beautiful night
543,You carried me from your car up the stairs,carried car stairs
544,"And I broke down crying, was she worth this mess?",broke crying worth mess
545,After everything and that little black dress,black dress
546,"After everything I must confess, I need you",confess
547,Today was a fairytale,today fairytale
548,You were the prince,prince
549,I used to be a damsel in distress,damsel distress
550,You took me by the hand and you picked me up at six,picked
551,Today was a fairytale,today fairytale
552,Today was a fairytale,today fairytale
553,Today was a fairytale,today fairytale
554,I wore a dress,wore dress
555,You wore a dark gray t-shirt,wore dark gray tshirt
556,You told me I was pretty when I looked like a mess,told pretty looked mess
557,Today was a fairytale,today fairytale
558,Time slows down,slows
559,Whenever you're around,
560,Can you feel this magic in the air?,feel magic air
561,It must have been the way you kissed me,kissed
562,Fell in love when I saw you standing there,fell love standing
563,It must have been the way,
564,Today was a fairytale,today fairytale
565,It must have been the way,
566,Today was a fairytale,today fairytale
567,Today was a fairytale,today fairytale
568,You've got a smile,smile
569,That takes me to another planet,takes planet
570,"Every move you make, everything you say is right",move
571,Today was a fairytale,today fairytale
572,Today was a fairytale,today fairytale
573,All that I can say,
574,Is now it's getting so much clearer,clearer
575,Nothing made sense 'til the time I saw your face,sense face
576,Today was a fairytale,today fairytale
577,Time slows down,slows
578,"Whenever you're around, yeah",
579,But can you feel this magic in the air?,feel magic air
580,It must have been the way you kissed me,kissed
581,Fell in love when I saw you standing there,fell love standing
582,It must have been the way,
583,Today was a fairytale,today fairytale
584,It must have been the way,
585,Today was a fairytale,today fairytale
586,Time slows down,slows
587,Whenever you're around,
588,I can feel my heart,feel heart
589,It's beating in my chest,beating chest
590,Did you feel it?,feel
591,I can't put this down,
592,But can you feel this magic in the air?,feel magic air
593,It must have been the way you kissed me,kissed
594,Fell in love when I saw you standing there,fell love standing
595,It must have been the way,
596,But can you feel this magic in the air?,feel magic air
597,It must have been the way you kissed me,kissed
598,Fell in love when I saw you standing there,fell love standing
599,It must have been the way,
600,Today was a fairytale,today fairytale
601,It must have been the way,
602,Today was a fairytale,today fairytale
603,"Oh, oh, yeah, oh-oh",
604,Today was a fairytale,today fairytale
605,Once the last drop of rain has dried off the pavement,drop rain dried pavement
606,"Shouldn't I find a stain, but I never do",find stain
607,The way the tires turn stones on old county roads,tires turn stones county roads
608,"They leave 'em muddy underneath, reminds me of you",leave muddy underneath reminds
609,You find graffiti on the walls of old bathroom stalls,find graffiti walls bathroom stalls
610,"You know, you can scratch it right off, it's how it used to be",scratch
611,"But like the dollar in your pocket, it's been spent and traded in",dollar pocket spent traded
612,"You can't change where it's been, reminds me of me",reminds
613,"I lived, and I learned, had you, got burned",lived learned burned
614,"Held out, and held on",held held
615,"God knows, too long, and wasted time",god wasted
616,"Lost tears, swore that I'd get out of here",lost tears swore
617,But no amount of freedom gets you clean,amount freedom clean
618,I've still got you all over me,
619,The best and worst day of June,worst day june
620,Was the one that I met you,
621,With your hands in your pockets,hands pockets
622,"And your ""Don't you wish you had me?"" grin",dont grin
623,"Well I did, so I smiled",smiled
624,And I melted like a child,melted child
625,Now every breath of air I breathe reminds me of then,breath air breathe reminds
626,"And I lived, and I learned, had you, got burned",lived learned burned
627,"Held out, and held on",held held
628,"God knows, too long, and wasted time",god wasted
629,"Lost tears, swore that I'd get out of here",lost tears swore
630,But no amount of freedom gets you clean,amount freedom clean
631,I've still got you all over me,
632,"I lived, and I learned",lived learned
633,And found out what it was to turn around,turn
634,And see that we,
635,Were never really meant to be,
636,"So I lied, and I cried",lied cried
637,And I watched a part of myself die,watched die
638,'Cause no amount of freedom gets you clean,amount freedom clean
639,I've still got you all over me,
640,I've still got you all over me,
641,Still got you all over me,
642,"Mr. ""Perfect face""",perfect face
643,"Mr. ""Here to stay""",stay
644,"Mr. ""Looked me in the eye and told me you would never go away""",looked eye told
645,Everything was right,
646,"Mr. ""I've been waitin' for you all my life""",waitin life
647,"Mr. ""Every single day until the end, I will be by your side""",single day
648,"But that was when I got to know Mr. ""Change of heart""",heart
649,"Mr. ""Leaves me all alone,"" I fall apart",leaves fall
650,It takes everything in me just to get up each day,takes day
651,But it's wonderful to see that you're okay,wonderful
652,"Hello, Mr. ""Perfectly fine""",perfectly fine
653,How's your heart after breakin' mine?,heart breakin mine
654,"Mr. ""Always at the right place at the right time,"" baby",baby
655,"Hello, Mr. ""Casually cruel""",casually cruel
656,"Mr. ""Everything revolves around you""",revolves
657,I've been Miss Misery since your goodbye,misery goodbye
658,"And you're Mr. ""Perfectly fine""",perfectly fine
659,"Mr. ""Never told me why""",told
660,"Mr. ""Never had to see me cry""",cry
661,"Mr. ""Insincere apology so he doesn't look like the bad guy""",insincere apology bad guy
662,He goes about his day,day
663,Forgets he ever even heard my name,forgets heard
664,"Well, I thought you might be different than the rest, I guess you're all the same",thought rest guess
665,'Cause I hear he's got his arm 'round a brand-new girl,hear arm brandnew girl
666,"I've been pickin' up my heart, he's been pickin' up her",pickin heart pickin
667,And I never got past what you put me through,
668,But it's wonderful to see that it never phased you,wonderful phased
669,"Hello, Mr. ""Perfectly fine""",perfectly fine
